,Price_positive_secondary,Price_negative_secondary,Price_positive_tertiary,Price_negative_tertiary
Fold 0,17.0,2.0,17.0,19.0
Fold 1,17.0,4.0,18.0,16.0
Fold 2,17.0,37.0,18.0,12.0
Fold 3,17.0,12.0,17.0,1.0
Fold 4,17.0,5.0,17.0,1.0
Fold 5,17.0,7.0,15.0,3.0
Fold 6,17.0,12.0,17.0,7.0
Fold 7,17.0,7.0,17.0,3.0
Fold 8,17.0,2.0,18.0,6.0
Fold 9,17.0,16.0,18.0,1.0
Fold 10,17.0,10.0,3.0,3.0
Fold 11,17.0,14.0,2.0,0.0
Fold 12,17.0,15.0,2.0,0.0
Fold 13,17.0,17.0,2.0,6.0
Fold 14,17.0,12.0,2.0,8.0
Fold 15,10.0,14.0,1.0,2.0
Fold 16,17.0,12.0,18.0,7.0
Fold 17,17.0,6.0,17.0,1.0
Fold 18,17.0,3.0,12.0,6.0
Fold 19,17.0,8.0,4.0,3.0
Fold 20,17.0,6.0,17.0,0.0
Fold 21,17.0,11.0,7.0,8.0
Fold 22,15.0,5.0,4.0,3.0
Fold 23,17.0,15.0,3.0,9.0
Fold 24,17.0,14.0,9.0,7.0
Fold 25,17.0,4.0,14.0,0.0
Fold 26,17.0,1.0,18.0,1.0
Fold 27,17.0,2.0,5.0,2.0
Fold 28,17.0,4.0,7.0,0.0
Fold 29,17.0,4.0,9.0,0.0
Fold 30,17.0,8.0,4.0,0.0
Fold 31,17.0,7.0,8.0,6.0
Fold 32,17.0,7.0,8.0,2.0
Fold 33,17.0,8.0,10.0,0.0
Fold 34,17.0,5.0,17.0,2.0
Fold 35,17.0,6.0,17.0,1.0
Fold 36,17.0,2.0,17.0,2.0
Fold 37,17.0,17.0,16.0,0.0
Fold 38,17.0,1.0,16.0,0.0
Fold 39,17.0,16.0,16.0,0.0
Fold 40,17.0,0.0,17.0,0.0
Fold 41,17.0,0.0,17.0,2.0
Fold 42,17.0,4.0,5.0,0.0
Fold 43,16.0,15.0,2.0,2.0
Fold 44,7.0,17.0,1.0,5.0
